aged, B1
anything, A1
attempt, B2
abandon, B2
agency, B2
anyway, A2
attend, A2
ability, A2
agenda, B2
anywhere, A2
attention, A2
able, A2
agent, B1
apart, B1
attitude, B1
about, A1
aggressive, B2
apartment, A1
attract, B1
above, A1
ago, A1
apologize, B1
attraction, B1
abroad, A2
agree, A1
app, A2
attractive, A2
absolute, B2
agreement, B1
apparent, B2
audience, A2
absolutely, B1
ah, A2
apparently, B2
August, A1
academic, B1
ahead, B1
appeal, B2
aunt, A1
accept, A2
aid, B2
appear, A2
author, A2
acceptable, B2
aim, B1
appearance, A2
authority, B1
access, B1
air, A1
apple, A1
autumn, A1
accident, A2
aircraft, B2
application, B1
available, A2
accommodation, B1
airline, A2
apply, A2
average, A2
accompany, B2
airport, A1
appointment, B1
avoid, A2
according to, A2
alarm, B1
appreciate, B1
award, A2
account, B1
album, B1
approach, B2
aware, B1
accurate, B2
alcohol, B1
appropriate, B2
away, A1
accuse, B2
alcoholic, B1
approval, B2
awful, A2
achieve, A2
alive, A2
approve, B2
baby, A1
achievement, B1
all, A1
approximately, B1
back, A1
acknowledge, B2
all right, A2
April, A1
background, A2
acquire, B2
allow, A2
architect, A2
backwards, B1
across, A1
almost, A2
architecture, A2
bacteria, B2
act, A2
alone, A2
area, A1
bad, A1
action, A1
along, A2
argue, A2
badly, A2
active, A2
already, A2
argument, A2
bag, A1
activity, A1
also, A1
arise, B2
bake, B1
actor, A1
alter, B2
arm, A1
balance, B1
actress, A1
alternative, A2
armed, B2
ball, A1
actual, B2
although, A2
arms, B2
ban, B1
actually, A2
always, A1
army, A2
banana, A1
ad, B1
amazed, B1
around, A1
band, A1
adapt, B2
amazing, A1
arrange, A2
bank, A1
add, A1
ambition, B1
arrangement, A2
addition, B1
ambitious, B1
arrest, B1
bar, A2
additional, B2
among, A2
arrival, B1
barrier, B2
address, A1
amount, A2
arrive, A1
base, B1
administration, B2
analyse, B1
art, A1
baseball, A2
admire, B1
analysis, B1
article, A1
based, A2
admit, B1
ancient, A2
artificial, B2
basketball, A2
adopt, B2
and, A1
artist, A1
basic, B1
adult, A1
anger, B2
artistic, B2
basically, B2
advance, B2
angle, B2
as, A1
basis, B1
advanced, B1
angrily, A2
ashamed, B2
bath, A1
advantage, A2
angry, A1
asleep, A2
bathroom, A1
adventure, A2
animal, A1
ask, A1
battery, B1
advertise, A2
ankle, A2
aspect, B2
battle, B1
advertisement, A2
anniversary, B2
assess, B2
be, A1
advertising, A2
announce, B1
assessment, B2
beach, A1
advice, A1
announcement, B1
assignment, B1
bean, A2
advise, B1
annoy, B1
assist, B1
bear, A2
affair, B2
annoyed, B1
assistant, A2
affect, A2
annoying, B1
associate, B2
beat, A2
afford, B1
annual, B2
associated, B2
beautiful, A1
afraid, A1
another, A1
association, B2
beauty, B1
after, A1
answer, A1
assume, B2
because, A1
afternoon, A1
anxious, B2
at, A1
become, A1
afterwards, B2
any, A1
athlete, A2
bed, A1
again, A1
anybody, A2
atmosphere, B1
bedroom, A1
against, A2
any more, A2
attach, B1
bee, B1
age, A1
anyone, A1
attack, A2
beef, A2
beer, A1
brain, A2
carefully, A2
classic, B2
before, A1
branch, B1
careless, B1
classical, A2
beg, B2
brand, B1
carpet, A2
classroom, A1
begin, A1
brave, B1
carrot, A1
clause, B1
beginning, A1
bread, A1
carry, A1
clean, A1
behave, A2
break, A1
