abolish, C1
aide, C1
assault, C1
beside, B2
abortion, C1
AIDS, B2
assemble, C1
besides, B2
absence, C1
albeit, C1
assembly, C1
betray, C1
absent, C1
alert, C1
assert, C1
bias, B2
absorb, B2
alien, B2
assertion, C1
bid, B2
abstract, B2
align, C1
asset, B2
bind, C1
absurd, C1
alignment, C1
assign, B2
biography, C1
abundance, C1
alike, C1
assistance, B2
biological, B2
abuse, C1
allegation, C1
assumption, B2
bishop, C1
academy, C1
allege, C1
assurance, C1
bizarre, C1
accelerate, C1
allegedly, C1
assure, B2
blade, C1
accent, B2
alliance, C1
astonishing, B2
blanket, B2
acceptance, C1
allocate, C1
asylum, C1
blast, C1
accessible, C1
allocation, C1
atrocity, C1
bleed, C1
accidentally, B2
allowance, C1
attachment, B2
blend, C1
accommodate, B2
ally, C1
attain, C1
bless, C1
accomplish, B2
alongside, B2
attendance, C1
blessing, C1
accomplishment, C1
altogether, B2
attorney, C1
blow, B2
accordance, C1
aluminium, C1
attribute, C1
boast, C1
accordingly, C1
amateur, C1
auction, B2
bold, B2
accountability, C1
ambassador, C1
audio, B2
bombing, B2
accountable, C1
ambulance, B2
audit, C1
bonus, C1
accountant, B2
amend, C1
authentic, C1
booking, B2
accounting, B2
amendment, C1
authorize, C1
boom, C1
accumulate, C1
amid, C1
auto, C1
boost, B2
accumulation, C1
amusing, B2
automatic, B2
bounce, C1
accuracy, B2
analogy, C1
automatically, B2
bound, B2
accurately, B2
analyst, B2
autonomy, C1
boundary, C1
accusation, C1
ancestor, B2
availability, C1
bow, C1
accused, C1
anchor, C1
await, C1
breach, C1
acid, B2
angel, C1
awareness, B2
breakdown, C1
acquisition, C1
animation, B2
awkward, B2
breakthrough, C1
acre, C1
annually, B2
backdrop, C1
breed, C1
activate, B2
anonymous, C1
backing, C1
brick, B2
activation, C1
anticipate, B2
backup, C1
briefly, B2
activist, C1
anxiety, B2
badge, B2
broadband, C1
acute, C1
apology, B2
bail, C1
broadcaster, B2
adaptation, C1
apparatus, C1
balanced, B2
broadly, B2
addiction, B2
appealing, C1
ballet, B2
browser, C1
additionally, B2
appetite, C1
balloon, B2
brutal, C1
adequate, B2
applaud, C1
ballot, C1
buck, C1
adequately, B2
applicable, C1
banner, C1
buddy, C1
adhere, C1
applicant, B2
bare, C1
buffer, C1
adjacent, C1
appoint, C1
barely, B2
bug, B2
adjust, B2
appreciation, C1
bargain, B2
bulk, C1
adjustment, C1
appropriately, B2
barrel, C1
burden, C1
administer, C1
arbitrary, C1
basement, B2
bureaucracy, C1
administrative, C1
architectural, C1
basket, B2
burial, C1
administrator, C1
archive, C1
bass, C1
burst, C1
admission, C1
arena, C1
bat, B2
cabin, B2
adolescent, C1
arguably, C1
battlefield, C1
cabinet, C1
adoption, C1
arm, C1
bay, C1
calculation, C1
adverse, C1
array, C1
beam, C1
canal, B2
advocate, C1
arrow, B2
beast, C1
candle, B2
aesthetic, C1
articulate, C1
behalf, C1
canvas, C1
affection, C1
artwork, B2
beloved, C1
capability, C1
affordable, B2
ash, C1
bench, C1
capitalism, C1
aftermath, C1
aside, B2
benchmark, C1
capitalist, C1
aggression, C1
aspiration, C1
beneath, C1
carbon, B2
agricultural, C1
aspire, C1
beneficial, B2
cargo, C1
agriculture, B2
assassination, C1
beneficiary, C1
